AC_Name,AC_No,Type,District,Winning_Candidate,Party,Total_Electors,Total Votes,Poll_percent,Margin,Margin_percent
Achampet,82,SC,Mahbubnagar,Guvvala Balaraju,Telangana Rashtra Samithi,199999,173833,86.90%,9114,5.20%
Adilabad,7,GEN,Adilabad,Jogu Ramanna,Telangana Rashtra Samithi,186348,164644,88.40%,26606,16.20%
Alair,97,GEN,Nalgonda,Gongidi Suneetha,Telangana Rashtra Samithi,192588,190016,98.70%,33086,17.40%
Alampur,80,SC,Mahbubnagar,Abraham V.M.,Telangana Rashtra Samithi,202250,176191,87.10%,44679,25.40%
Amberpet,59,GEN,Hyderabad,Kaleru  Venkatesham,Telangana Rashtra Samithi,253158,132977,52.50%,1016,0.80%
Andole,36,SC,Medak,Kranthi Kiran Chanti,Telangana Rashtra Samithi,187233,196610,105.00%,16465,8.40%
Armur,11,GEN,Nizamabad,Ashannagari Jeevan Reddy,Telangana Rashtra Samithi,157180,138740,88.30%,28795,20.80%
Asifabad,5,ST,Adilabad,Athram Sakku,Indian National Congress,169294,158075,93.40%,171,0.10%
Aswaraopeta,118,ST,Khammam,Mecha Nageswara Rao,Telugu Desam,127544,124747,97.80%,13117,10.50%
Bahadurpura,69,GEN,Hyderabad,Mohd. Moazam Khan,All India Majlis-E-Ittehadul Muslimeen,266332,129394,48.60%,82518,63.80%
Balkonda,19,GEN,Nizamabad,Vemula Prashanth Reddy,Telangana Rashtra Samithi,177673,152965,86.10%,32408,21.20%
Banswada,14,GEN,Nizamabad,Pocharam Srinivas Reddy (PARIGE),Telangana Rashtra Samithi,150444,144242,95.90%,18485,12.80%
Bellampalli,3,SC,Adilabad,Durgam Chinnaiah,Telangana Rashtra Samithi,137893,124903,90.60%,11276,9.00%
Bhadrachalam,119,ST,Khammam,Podem Veeraiah,Indian National Congress,124158,108339,87.30%,11785,10.90%
Bhongir,94,GEN,Nalgonda,Pailla Shekar Reddy,Telangana Rashtra Samithi,172996,171884,99.40%,24063,14.00%
Bhupalpalle,108,GEN,Warangal,Gandra Venkata Ramana Reddy,Indian National Congress,231127,207342,89.70%,15635,7.50%
Boath,8,ST,Adilabad,Bapu Rao Rathod,Telangana Rashtra Samithi,166315,154487,92.90%,6486,4.20%
Bodhan,12,GEN,Nizamabad,Shakil Aamir Mohammed,Telangana Rashtra Samithi,167250,157008,93.90%,8101,5.20%
Chandrayangutta,67,GEN,Hyderabad,Akbaruddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,293680,139281,47.40%,80264,57.60%
Charminar,66,GEN,Hyderabad,Mumtaz Ahmed Khan,All India Majlis-E-Ittehadul Muslimeen,200410,100235,50.00%,32586,32.50%
Chennur,2,SC,Adilabad,Balka Suman,Telangana Rashtra Samithi,149679,133529,89.20%,28132,21.10%
Chevella,53,SC,Rangareddi,Kale Yadaiah,Telangana Rashtra Samithi,214119,175728,82.10%,33552,19.10%
Choppadandi,27,SC,Karimnagar,Ravi Shankar Sunke,Telangana Rashtra Samithi,179949,167114,92.90%,42127,25.20%
Devarakonda,86,ST,Nalgonda,Ramavath Ravindra Kumar,Telangana Rashtra Samithi,179277,183889,102.60%,38848,21.10%
Devarkadra,76,GEN,Mahbubnagar,Alla Venkateswar Reddy,Telangana Rashtra Samithi,182330,171721,94.20%,35248,20.50%
Dharmapuri,22,SC,Karimnagar,Eshwar Koppula,Telangana Rashtra Samithi,187266,163147,87.10%,441,0.30%
Dornakal,101,ST,Warangal,Dharam Soth Redya Naik,Telangana Rashtra Samithi,173345,172040,99.20%,17381,10.10%
Dubbak,41,GEN,Medak,Solipeta Ramalinga Reddy,Telangana Rashtra Samithi,174686,163401,93.50%,62500,38.20%
Gadwal,79,GEN,Mahbubnagar,Bandla Krishna Mohan Reddy,Telangana Rashtra Samithi,204500,189873,92.80%,28260,14.90%
Gajwel,42,GEN,Medak,Kalvakuntla Chandrashekar Rao,Telangana Rashtra Samithi,207622,205896,99.20%,58290,28.30%
Ghanpur (Station),99,SC,Warangal,Dr. Thatikonda Rajaiah,Telangana Rashtra Samithi,213242,195403,91.60%,35790,18.30%
Goshamahal,65,GEN,Hyderabad,T. Raja Singh,Bharatiya Janta Party,279665,136202,48.70%,17734,13.00%
Husnabad,32,GEN,Karimnagar,Satish Kumar Voditela,Telangana Rashtra Samithi,196850,183285,93.10%,70530,38.50%
Huzurabad,31,GEN,Karimnagar,Eatala Rajendar,Telangana Rashtra Samithi,182084,173808,95.50%,43719,25.20%
Huzurnagar,89,GEN,Nalgonda,Uttam Kumar Reddy Nalamada,Indian National Congress,198512,192844,97.10%,7466,3.90%
Ibrahimpatnam,48,GEN,Rangareddi,Manchireddy Kishan Reddy,Telangana Rashtra Samithi,245070,195700,79.90%,376,0.20%
Jadcherla,75,GEN,Mahbubnagar,Charlakola Laxma Reddy,Telangana Rashtra Samithi,172738,159365,92.30%,45082,28.30%
Jagtial,21,GEN,Karimnagar,M.Sanjay Kumar,Telangana Rashtra Samithi,174856,158010,90.40%,61185,38.70%
Jangaon,98,GEN,Warangal,Muthireddy Yadagiri Reddy,Telangana Rashtra Samithi,183069,178852,97.70%,29568,16.50%
Jubilee Hills,61,GEN,Hyderabad,Maganti Gopinath,Telangana Rashtra Samithi,329912,154148,46.70%,16004,10.40%
Jukkal,13,SC,Nizamabad,Hanmanth Shinde,Telangana Rashtra Samithi,156317,149546,95.70%,35625,23.80%
Kalwakurthy,83,GEN,Mahbubnagar,Gurka Jaipal Yadav,Telangana Rashtra Samithi,176103,176558,100.30%,3447,2.00%
Kamareddy,16,GEN,Nizamabad,Gampa Govardhan,Telangana Rashtra Samithi,169918,160757,94.60%,4557,2.80%
Karimnagar,26,GEN,Karimnagar,Gangula Kamalakar,Telangana Rashtra Samithi,199331,197944,99.30%,14974,7.60%
Karwan,64,GEN,Hyderabad,Kausar Mohiuddin,All India Majlis-E-Ittehadul Muslimeen,288333,164688,57.10%,50169,30.50%
Khairatabad,60,GEN,Hyderabad,Danam Nagender,Telangana Rashtra Samithi,265683,140150,52.80%,28402,20.30%
Khammam,112,GEN,Khammam,Ajay Kumar Puvvada,Telangana Rashtra Samithi,261069,202915,77.70%,10991,5.40%
